,ACCELERATION,ACCELERATION_PEDAL,ACCELERATION_Y,ACCELERATION_Z,BRAKE_PEDAL,CLUTCH_PEDAL,CURVE_RADIUS,DISTANCE,DISTANCE_TO_NEXT_INTERSECTION,DISTANCE_TO_NEXT_STOP_SIGNAL,DISTANCE_TO_NEXT_TRAFFIC_LIGHT_SIGNAL,DISTANCE_TO_NEXT_VEHICLE,DISTANCE_TO_NEXT_YIELD_SIGNAL,FAST_LANE,FOG,FOG_LIGHTS,FRONT_WIPERS,GEARBOX,HEADING,HEAD_LIGHTS,HORN,INDICATORS,INDICATORS_ON_INTERSECTION,LANE,LANE_LATERAL_SHIFT_CENTER,LANE_LATERAL_SHIFT_LEFT,LANE_LATERAL_SHIFT_RIGHT,LANE_WIDTH,RAIN,REAR_WIPERS,ROAD_ANGLE,SNOW,SPEED,SPEED_LIMIT,SPEED_NEXT_VEHICLE,SPEED_Y,SPEED_Z,STEERING_WHEEL
0,0.22959810000000005,0.0,-0.0188773,0.25318670000000004,400.0,1.0,111.8882,0.008307059945449259,472.7118,99000.0,99000.0,99000.0,99000,2,4000,0,0,1,1.8326194487734,2,0,0,0,2,0.4150692,-1.481431,2.311569,5.5,0,0,99.55229,0,0.01320515,90.0,0.0,-0.002817762,-0.05734869,0.0908912
1,0.22959810000000005,0.0,-0.0188773,0.25318670000000004,400.0,1.0,111.8882,0.00898357478637211,472.7118,99000.0,99000.0,99000.0,99000,2,4000,0,0,1,1.8326194487734,2,0,0,0,2,0.4150692,-1.481431,2.311569,5.5,0,0,99.55229,0,0.01320515,90.0,0.0,-0.002817762,-0.05734869,0.0908912
2,-0.1977324,0.0,0.02620015,0.1034217,400.0,1.0,111.8882,0.00922976540788352,472.7118,99000.0,99000.0,99000.0,99000,2,4000,0,0,1,1.83265201852942,2,0,0,0,2,0.4150692,-1.481431,2.311569,5.5,0,0,99.55229,0,0.01126486,90.0,0.0,-0.00191488,-0.02640155,0.08648087
3,-0.1883921,0.0,0.02752203,0.0552276,400.0,1.0,111.8882,0.00954351881026852,472.7118,99000.0,99000.0,99000.0,99000,2,4000,0,0,1,1.83265509734398,2,0,0,0,2,0.4150692,-1.481431,2.311569,5.5,0,0,99.55229,0,0.008247031,90.0,0.0,-0.001496941,-0.0252126,0.08590561
4,-0.1610531,0.0,0.02750289,0.02869445,400.0,1.0,111.9019,0.0097460486655809,472.7093,99000.0,99000.0,99000.0,99000,2,4000,0,0,1,1.8326572693864,2,0,0,0,2,0.4152501,-1.48125,2.31175,5.5,0,0,99.5536,0,0.005439976,90.0,0.0,-0.001053977,-0.02457788,0.08533035
5,-0.1610531,0.0,0.02750289,0.02869445,400.0,1.0,111.9019,0.00999402670980165,472.7093,99000.0,99000.0,99000.0,99000,2,4000,0,0,1,1.8326572693864,2,0,0,0,2,0.4152501,-1.48125,2.31175,5.5,0,0,99.5536,0,0.005439976,90.0,0.0,-0.001053977,-0.02457788,0.08533035
6,-0.1442685,0.0,0.02686784,0.02241924,400.0,1.0,111.9025,0.0102861407333302,472.7092,99000.0,99000.0,99000.0,99000,2,4000,0,0,1,1.83265796808242,2,0,0,0,2,0.4152573000000001,-1.481243,2.311757,5.5,0,0,99.55364,0,0.004221533,90.0,0.0,-0.0008358338000000001,-0.0243776,0.08494684
7,-0.1070042,0.0,0.02472281,0.02281746,400.0,1.0,111.9025,0.0104303582389339,472.7092,99000.0,99000.0,99000.0,99000,2,4000,0,0,1,1.83265872111926,2,0,0,0,2,0.4152573000000001,-1.481243,2.311757,5.5,0,0,99.55364,0,0.002214845,90.0,0.0,-0.0004219475,-0.02403762,0.08417983
8,-0.08318660000000001,0.0,0.02261093,0.02994926,400.0,1.0,111.9034,0.0106679977612299,472.709,99000.0,99000.0,99000.0,99000,2,4000,0,0,1,1.83265875996192,2,0,0,0,2,0.4152762,-1.481224,2.311776,5.5,0,0,99.55373,0,0.001269404,90.0,0.0,-0.0001855521,-0.02377544,0.08360457
9,-0.08318660000000001,0.0,0.02261093,0.02994926,400.0,1.0,111.9034,0.0110966468447607,472.709,99000.0,99000.0,99000.0,99000,2,4000,0,0,1,1.83265875996192,2,0,0,0,2,0.4152762,-1.481224,2.311776,5.5,0,0,99.55373,0,0.001269404,90.0,0.0,-0.0001855521,-0.02377544,0.08360457
