,ACCELERATION,ACCELERATION_PEDAL,ACCELERATION_Y,ACCELERATION_Z,BRAKE_PEDAL,CLUTCH_PEDAL,CURVE_RADIUS,DISTANCE,DISTANCE_TO_NEXT_INTERSECTION,DISTANCE_TO_NEXT_STOP_SIGNAL,DISTANCE_TO_NEXT_TRAFFIC_LIGHT_SIGNAL,DISTANCE_TO_NEXT_VEHICLE,DISTANCE_TO_NEXT_YIELD_SIGNAL,FAST_LANE,FOG,FOG_LIGHTS,FRONT_WIPERS,GEARBOX,HEADING,HEAD_LIGHTS,HORN,INDICATORS,INDICATORS_ON_INTERSECTION,LANE,LANE_LATERAL_SHIFT_CENTER,LANE_LATERAL_SHIFT_LEFT,LANE_LATERAL_SHIFT_RIGHT,LANE_WIDTH,RAIN,REAR_WIPERS,ROAD_ANGLE,SNOW,SPEED,SPEED_LIMIT,SPEED_NEXT_VEHICLE,SPEED_Y,SPEED_Z,STEERING_WHEEL
0,0.2296164,0.0,-0.01622029,0.2532254,400.0,1.0,111.8882,0.007734752209225991,472.7118,99000.0,99000.0,99000.0,99000,2,4000,0,0,1,1.83262673267306,2,0,0,0,2,0.4150642,-1.481436,2.311564,5.5,0,0,99.55229,0,0.01320218,90.0,0.0,-0.002931275,-0.05734362,-0.003259811
1,0.2296164,0.0,-0.01622029,0.2532254,400.0,1.0,111.8882,0.008465779595770159,472.7118,99000.0,99000.0,99000.0,99000,2,4000,0,0,1,1.83262673267306,2,0,0,0,2,0.4150642,-1.481436,2.311564,5.5,0,0,99.55229,0,0.01320218,90.0,0.0,-0.002931275,-0.05734362,-0.003259811
2,0.2296164,0.0,-0.01622029,0.2532254,400.0,1.0,111.8882,0.008465779595770159,472.7118,99000.0,99000.0,99000.0,99000,2,4000,0,0,1,1.83262673267306,2,0,0,0,2,0.4150642,-1.481436,2.311564,5.5,0,0,99.55229,0,0.01320218,90.0,0.0,-0.002931275,-0.05734362,-0.003259811
3,-0.1970764,0.0,0.02712564,0.1130948,400.0,1.0,111.8882,0.00932162966377425,472.7118,99000.0,99000.0,99000.0,99000,2,4000,0,0,1,1.83266321616398,2,0,0,0,2,0.4150642,-1.481436,2.311564,5.5,0,0,99.55229,0,0.01175847,90.0,0.0,-0.001833096,-0.02666457,-0.004026826
4,-0.1884139,0.0,0.02809326,0.05505162,400.0,1.0,111.8882,0.00952949898608337,472.7118,99000.0,99000.0,99000.0,99000,2,4000,0,0,1,1.83266713729122,2,0,0,0,2,0.4150642,-1.481436,2.311564,5.5,0,0,99.55229,0,0.008246998,90.0,0.0,-0.001333036,-0.02521024,-0.004218579
5,-0.16807439999999998,0.0,0.02807703,0.03245787,400.0,1.0,111.8882,0.00988174758149672,472.7118,99000.0,99000.0,99000.0,99000,2,4000,0,0,1,1.83266902863187,2,0,0,0,2,0.4150642,-1.481436,2.311564,5.5,0,0,99.55229,0,0.006014500999999999,90.0,0.0,-0.0009806497,-0.02468375,-0.004218579
6,-0.154951,0.0,0.0275409,0.02566112,400.0,1.0,111.8999,0.0100172703412434,472.7097,99000.0,99000.0,99000.0,99000,2,4000,0,0,1,1.83266971145284,2,0,0,0,2,0.4152333,-1.481267,2.3117330000000003,5.5,0,0,99.55341,0,0.004967214,90.0,0.0,-0.0008002841,-0.02449798,-0.004218579
7,-0.13761279999999998,0.0,0.02654943,0.02102826,400.0,1.0,111.8999,0.0103089593588005,472.7097,99000.0,99000.0,99000.0,99000,2,4000,0,0,1,1.83267028998819,2,0,0,0,2,0.4152333,-1.481267,2.3117330000000003,5.5,0,0,99.55341,0,0.003799927,90.0,0.0,-0.0005842973,-0.02431526,-0.004218579
8,-0.09978651,0.0,0.02360126,0.024431,400.0,1.0,111.9033,0.0105483538117168,472.709,99000.0,99000.0,99000.0,99000,2,4000,0,0,1,1.8326706220993605,2,0,0,0,2,0.4152663,-1.481234,2.311766,5.5,0,0,99.55373,0,0.001906287,90.0,0.0,-0.0001818976,-0.02397061,-0.004026826
9,-0.08085767,0.0,0.02198938,0.03081101,400.0,1.0,111.9033,0.0107607843579264,472.709,99000.0,99000.0,99000.0,99000,2,4000,0,0,1,1.83267041649909,2,0,0,0,2,0.4152663,-1.481234,2.311766,5.5,0,0,99.55373,0,0.00118806,90.0,0.0,-1.40999e-07,-0.02374967,-0.003835072
10,-0.06064558,0.0,0.01989451,0.04023726,400.0,1.0,111.9038,0.0109927764462313,472.709,99000.0,99000.0,99000.0,99000,2,4000,0,0,1,1.83266991925872,2,0,0,0,2,0.4152787,-1.481221,2.311779,5.5,0,0,99.55377,0,0.000556519,90.0,0.0,0.0001865001,-0.02342897,-0.003643318
11,-0.04040964,0.0,0.01717868,0.05206249,400.0,1.0,111.9038,0.011241857353679,472.709,99000.0,99000.0,99000.0,99000,2,4000,0,0,1,1.83266907974346,2,0,0,0,2,0.4152787,-1.481221,2.311779,5.5,0,0,99.55377,0,5.749510000000001e-05,90.0,0.0,0.0003700667,-0.02296509,-0.003643318
12,-0.02802217,0.0,0.01542437,0.06039312,400.0,1.0,111.9043,0.0114615305500018,472.7089,99000.0,99000.0,99000.0,99000,2,4000,0,0,1,1.83266833555166,2,0,0,0,2,0.4152985,-1.481202,2.311799,5.5,0,0,99.55382,0,-0.0001786623,90.0,0.0,0.0004843719,-0.02256926,-0.003451565
13,-0.0061995,0.0,0.01173343,0.07705546,400.0,1.0,111.9043,0.0116737095365798,472.7089,99000.0,99000.0,99000.0,99000,2,4000,0,0,1,1.83266619483422,2,0,0,0,2,0.4152985,-1.481202,2.311799,5.5,0,0,99.55382,0,-0.0004359359,90.0,0.0,0.0007005538000000001,-0.02145927,-0.003068058
14,0.001109778,0.0,0.00968723,0.08322449,400.0,1.0,111.9044,0.0118475677216436,472.7088,99000.0,99000.0,99000.0,99000,2,4000,0,0,1,1.83266494347422,2,0,0,0,2,0.4153126,-1.481187,2.311813,5.5,0,0,99.55383,0,-0.0004535714,90.0,0.0,0.0007850414,-0.02081543,-0.003068058
