,ACCELERATION,ACCELERATION_PEDAL,ACCELERATION_Y,ACCELERATION_Z,BRAKE_PEDAL,CLUTCH_PEDAL,CURVE_RADIUS,DISTANCE,DISTANCE_TO_NEXT_INTERSECTION,DISTANCE_TO_NEXT_STOP_SIGNAL,DISTANCE_TO_NEXT_TRAFFIC_LIGHT_SIGNAL,DISTANCE_TO_NEXT_VEHICLE,DISTANCE_TO_NEXT_YIELD_SIGNAL,FAST_LANE,FOG,FOG_LIGHTS,FRONT_WIPERS,GEARBOX,HEADING,HEAD_LIGHTS,HORN,INDICATORS,INDICATORS_ON_INTERSECTION,LANE,LANE_LATERAL_SHIFT_CENTER,LANE_LATERAL_SHIFT_LEFT,LANE_LATERAL_SHIFT_RIGHT,LANE_WIDTH,RAIN,REAR_WIPERS,ROAD_ANGLE,SNOW,SPEED,SPEED_LIMIT,SPEED_NEXT_VEHICLE,SPEED_Y,SPEED_Z,STEERING_WHEEL
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
1,-0.01065197,0.0,-0.000267153,0.4042474,400.0,1.0,3261.928,0.00802235817806832,2127.613,99000.0,99000.0,182.8667,99000,3,10000,0,0,1,1.57080394423001,2,0,0,0,2,0.1812193,-0.8652806999999999,1.227719,3.8,0,0,117.7385,0,0.01879547,130.0,83.94064,5.8709709999999975e-06,-0.03811472,-0.003835072
2,-0.1702771,0.0,-0.0001817633,0.2090137,400.0,1.0,3261.928,0.008333170023688241,2127.613,99000.0,99000.0,182.8667,99000,3,10000,0,0,1,1.5708039041619095,2,0,0,0,2,0.1812193,-0.8652806999999999,1.227719,3.8,0,0,117.7385,0,0.01544827,130.0,83.94064,-1.606801e-06,-0.02791241,-0.003835072
3,-0.1858371,0.0,-0.0001649273,0.1736137,400.0,1.0,3261.928,0.00862098308600663,2127.613,99000.0,99000.0,182.8667,99000,3,10000,0,0,1,1.57080390542447,2,0,0,0,2,0.1812193,-0.8652806999999999,1.227719,3.8,0,0,117.7385,0,0.01437395,130.0,83.94064,-2.643602e-06,-0.02677437,-0.003835072
4,-0.1993791,0.0,-0.00014307,0.1304741,400.0,1.0,99000.0,0.008890232582636859,254.4446,99000.0,250.1456,99000.0,99000,6,10000,0,0,1,1.57080391030766,2,0,0,0,5,0.02871789,-0.8678267,0.9252625,3.500089,0,0,90.07784,0,0.0128244,70.0,0.0,-3.871362e-06,-0.0255722,-0.003835072
5,-0.2028652,0.0,-0.0001009992,0.06259787,400.0,1.0,99000.0,0.009145452303249773,254.4432,99000.0,250.1442,99000.0,99000,6,10000,0,0,1,1.57080392906977,2,0,0,0,5,0.02871712,-0.8678275,0.9252617,3.500089,0,0,90.07784,0,0.009566775,70.0,0.0,-5.815428e-06,-0.02407999,-0.003835072
6,-0.1948179,0.0,-8.035747e-05,0.03899052,400.0,1.0,99000.0,0.009390866660160773,254.4432,99000.0,250.1442,99000.0,99000,6,10000,0,0,1,1.57080394183699,2,0,0,0,5,0.02871712,-0.8678275,0.9252617,3.500089,0,0,90.07784,0,0.007974448,70.0,0.0,-6.537812e-06,-0.02368419,-0.003835072
7,-0.1820138,0.0,-6.125268e-05,0.02227191,400.0,1.0,99000.0,0.00962996647889547,254.443,99000.0,250.144,99000.0,99000,6,10000,0,0,1,1.57080395607956,2,0,0,0,5,0.02871684,-0.8678278,0.9252614,3.500089,0,0,90.07784,0,0.006467495,70.0,0.0,-7.1019939999999985e-06,-0.02344782,-0.003835072
8,-0.1657618,0.0,-4.184542000000001e-05,0.01201069,400.0,1.0,99000.0,0.00986524909160969,254.443,99000.0,250.144,99000.0,99000,6,10000,0,0,1,1.5708039711782602,2,0,0,0,5,0.02871684,-0.8678278,0.9252614,3.500089,0,0,90.07784,0,0.0050783320000000005,70.0,0.0,-7.511853999999997e-06,-0.0233174,-0.003835072
9,-0.1287324,0.0,-5.710059e-06,0.006296704,400.0,1.0,99000.0,0.0100981739112539,254.4427,99000.0,250.1438,99000.0,99000,6,10000,0,0,1,1.57080400175097,2,0,0,0,5,0.02871649,-0.8678280999999999,0.9252611,3.500089,0,0,90.07784,0,0.002724361,70.0,0.0,-7.885194e-06,-0.02319728,-0.003835072
